(+)ssrna virus infection	http://purl.obolibrary.org/obo/DOID_0050502
(-)ssrna virus infection	http://purl.obolibrary.org/obo/DOID_0050503
(congenital ichthyosiform erythroderma) or (alligator skin) or (ichthyosis congenita nos)	http://purl.obolibrary.org/obo/DOID_1695
(macroencephaly) or (megalencephaly) or (enlarged brain) or (macrocephaly)	http://purl.obolibrary.org/obo/DOID_2186
(sexual precocity nos) or (puberty - precocious)	http://purl.obolibrary.org/obo/DOID_14038
1,4-phenylenediamine allergic contact dermatitis	http://purl.obolibrary.org/obo/DOID_0040058
1-chloro-2,4-dinitrobenzene allergic contact dermatitis	http://purl.obolibrary.org/obo/DOID_0040069
11-beta-hydroxysteroid dehydrogenase deficiency type 2	http://purl.obolibrary.org/obo/DOID_4367
11p partial monosomy syndrome	http://purl.obolibrary.org/obo/DOID_14515
11p11.2 deletion	http://purl.obolibrary.org/obo/DOID_0111687
14q11.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060392
15q11.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060393
15q13.3 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060394
15q24 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060395
15q26 deletion syndrome	http://purl.obolibrary.org/obo/DOID_0060397
16p11.2-p12.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060400
16p11.2p12.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060400
16p13.3 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060431
17-beta hydroxysteroid dehydrogenase 3 deficiency	http://purl.obolibrary.org/obo/DOID_0112248
17-beta-hydroxysteroid dehydrogenase 3 deficiency	http://purl.obolibrary.org/obo/DOID_0112248
17-ketoreductase deficiency	http://purl.obolibrary.org/obo/DOID_0112248
17-ketosteroidreductase deficiency	http://purl.obolibrary.org/obo/DOID_0112248
17-ksr deficiency	http://purl.obolibrary.org/obo/DOID_0112248
17p11.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060768
17p11.2 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060853
17p13.3 duplication syndrome	http://purl.obolibrary.org/obo/DOID_0060432
17p13.3 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060432
17q11 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060403
17q12 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060404
17q12 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060433
17q21.31 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0050880
17q21.31 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060434
17q23.1-q23.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060405
17q23.1q23.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060405
18p- syndrome	http://purl.obolibrary.org/obo/DOID_0060406
18q- syndrome	http://purl.obolibrary.org/obo/DOID_0060407
